"Date","Currency","Buying","Selling"
"05 Aug 2024","ALBANIA LEK","1.70116","1.72031"
"05 Aug 2024","ALGERIA DINAR","1.16013","1.17319"
"05 Aug 2024","ANGOLA KWANZA","0.17543","0.17740"
"05 Aug 2024","ARGENTINE PESO","0.16728","0.16916"
"05 Aug 2024","ARUBA GUILDER","87.14413","88.12503"
"05 Aug 2024","AUSTRALIAN DOLLAR","101.68858","102.83318"
"05 Aug 2024","AUSTRIAN SCHILLING","12.38182","12.52119"
"05 Aug 2024","AZERBAIJAN MANAT","91.75765","92.79047"
"05 Aug 2024","BAHAMIAN DOLLAR","155.98800","157.74380"
"05 Aug 2024","BAHRAINI DINAR","413.81616","418.47407"
"05 Aug 2024","BANGLADESH TAKA","1.32277","1.33766"
"05 Aug 2024","BARBADOS DOLLAR","77.99400","78.87190"
"05 Aug 2024","BELGIAN FRANC","4.22356","4.27110"
"05 Aug 2024","BELIZE DOLLAR","77.99400","78.87190"
"05 Aug 2024","BERMUDA DOLLAR","155.98800","157.74380"
"05 Aug 2024","BHUTAN NGULTRUM","1.86252","1.88348"
"05 Aug 2024","BOLIVIAN BOLIVIANO","22.57424","22.82834"
"05 Aug 2024","BOSNIA HERZ. MARK","87.11250","88.09304"
"05 Aug 2024","BOTSWANA PULA","11.55091","11.68093"
"05 Aug 2024","BRAZIL REAL","27.15172","27.45734"
"05 Aug 2024","BRUNEI DOLLAR","117.75345","119.07889"
"05 Aug 2024","BULGARIAN LEV","87.11493","88.09550"
"05 Aug 2024","BURUNDI FRANC","0.05426","0.05487"
"05 Aug 2024","CANADIAN DOLLAR","108.79340","115.17820"
"05 Aug 2024","CAYMAN DOLLAR","190.22927","192.37049"
"05 Aug 2024","CHILIAN PESO","0.16389","0.16573"
"05 Aug 2024","CHINESE YUAN","21.82551","22.07118"
"05 Aug 2024","CHINESE YUAN RENMINBI","21.61951","21.86286"
"05 Aug 2024","COLOMBIAN PESO","0.03799","0.03842"
"05 Aug 2024","COMOROS FRANC","0.34632","0.35022"
"05 Aug 2024","CONGO FRANC","0.05498","0.05560"
"05 Aug 2024","COSTA RICA COLON","0.29802","0.30138"
"05 Aug 2024","COTE D'IVORIE FRANC","0.25974","0.26266"
"05 Aug 2024","CROATIA KUNA","22.61302","22.86755"
"05 Aug 2024","CUBAN PESO","6.49950","6.57266"
"05 Aug 2024","CYPRUS POUND","291.10385","294.38052"
"05 Aug 2024","CZECH KORUNA","6.73430","6.81010"
"05 Aug 2024","DANISH KRONE","22.83030","23.08727"
"05 Aug 2024","DEUTSCHE MARK","87.11250","88.09304"
"05 Aug 2024","DOMINCAN PESO","2.62297","2.65249"
"05 Aug 2024","DUTCH GUILDER","77.31364","78.18388"
"05 Aug 2024","E.C. DOLLAR","57.77333","58.42363"
"05 Aug 2024","ECUADOR SUCRE","0.00624","0.00631"
"05 Aug 2024","EGYPT POUND","3.20501","3.24109"
"05 Aug 2024","EL SALVADOR COLON","17.82720","18.02786"
"05 Aug 2024","ESTONIAN KROON","10.88914","11.01171"
"05 Aug 2024","ETHIOPIA BIRR","1.92697","1.94866"
"05 Aug 2024","EURO","164.46200","174.59070"
"05 Aug 2024","FIJI DOLLAR","68.20937","68.97713"
"05 Aug 2024","FINNISH MARKS","28.65556","28.97811"
"05 Aug 2024","FRENCH FRANC","25.97397","26.26634"
"05 Aug 2024","GAMBIA DALASI","2.24121","2.26643"
"05 Aug 2024","GEORGIA LARI","57.56015","58.20804"
"05 Aug 2024","GHANA CEDI","10.03138","10.14430"
"05 Aug 2024","GIBRALTAR POUND","199.76603","202.01460"
"05 Aug 2024","GREAT BRITAIN POUND","194.80120","203.56810"
"05 Aug 2024","GREEK DRACHMA","0.50001","0.50564"
"05 Aug 2024","GUATEMALA QUETZAL","20.13242","20.35903"
