HS Code,ID,Rate
0101210000,ID-01,0.00%
0101210000,ASD05,-
0101210000,GCT 06,15%
0101210000,EXC023,-
0101210000,SCTA08,-
0101210000,SCTS18,-
0101210000,SCTF028,-
0101210000,SCF90,-
0101210000,ENVL20,0.50%
0101291000,ID-01,5.00%
0101291000,ASD05,-
0101291000,GCT 06,15%
0101291000,EXC023,-
0101291000,SCTA08,-
0101291000,SCTS18,-
0101291000,SCTF028,-
0101291000,SCF90,-
0101291000,ENVL20,0.50%
0101299010,ID-01,5.00%
0101299010,ASD05,-
0101299010,GCT 06,15%
0101299010,EXC023,-
0101299010,SCTA08,-
0101299010,SCTS18,-
0101299010,SCTF028,-
0101299010,SCF90,-
0101299010,ENVL20,0.50%
0101299020,ID-01,5.00%
0101299020,ASD05,-
0101299020,GCT 06,15%
0101299020,EXC023,-
0101299020,SCTA08,-
0101299020,SCTS18,-
0101299020,SCTF028,-
0101299020,SCF90,-
0101299020,ENVL20,0.50%
0101301000,ID-01,0.00%
0101301000,ASD05,-
0101301000,GCT 06,15%
0101301000,EXC023,-
0101301000,SCTA08,-
0101301000,SCTS18,-
0101301000,SCTF028,-
0101301000,SCF90,-
0101301000,ENVL20,0.50%
0101309010,ID-01,40.00%
0101309010,ASD05,-
0101309010,GCT 06,15%
0101309010,EXC023,-
0101309010,SCTA08,-
0101309010,SCTS18,-
0101309010,SCTF028,-
0101309010,SCF90,-
0101309010,ENVL20,0.50%
0101309090,ID-01,40.00%
0101309090,ASD05,-
0101309090,GCT 06,15%
0101309090,EXC023,-
0101309090,SCTA08,-
0101309090,SCTS18,-
0101309090,SCTF028,-
0101309090,SCF90,-
0101309090,ENVL20,0.50%
0101900010,ID-01,40.00%
0101900010,ASD05,-
0101900010,EXC023,-
0101900010,SCTA08,-
0101900010,SCTS18,-
0101900010,SCTF028,-
0101900010,SCF90,-
0101900010,ENVL20,0.50%
0101900090,ID-01,40.00%
0101900090,ASD05,-
0101900090,GCT 06,15%
0101900090,EXC023,-
0101900090,SCTA08,-
0101900090,SCTS18,-
0101900090,SCTF028,-
0101900090,SCF90,-
0101900090,ENVL20,0.50%
0102211000,ID-01,0.00%
0102211000,ASD05,-
0102211000,GCT 06,15%
0102211000,EXC023,-
0102211000,SCTA08,-
0102211000,SCTS18,-
0102211000,SCTF028,-
0102211000,SCF90,-
0102211000,ENVL20,0.50%
0102212000,ID-01,0.00%
0102212000,ASD05,-
0102212000,GCT 06,15%
0102212000,EXC023,-
0102212000,SCTA08,-
0102212000,SCTS18,-
0102212000,SCTF028,-
0102212000,SCF90,-
0102212000,ENVL20,0.50%
0102291000,ID-01,0.00%
0102291000,ASD05,-
0102291000,GCT 06,15%
0102291000,EXC023,-
0102291000,SCTA08,-
0102291000,SCTS18,-
0102291000,SCTF028,-
0102291000,SCF90,-
0102291000,ENVL20,0.50%
0102292000,ID-01,0.00%
0102292000,ASD05,-
0102292000,GCT 06,15%
0102292000,EXC023,-
0102292000,SCTA08,-
0102292000,SCTS18,-
0102292000,SCTF028,-
0102292000,SCF90,-
0102292000,ENVL20,0.50%
0102293000,ID-01,40.00%
0102293000,ASD05,-
0102293000,GCT 06,15%
0102293000,EXC023,-
0102293000,SCTA08,-
0102293000,SCTS18,-
0102293000,SCTF028,-
0102293000,SCF90,-
0102293000,ENVL20,0.50%
0102294000,ID-01,0.00%
0102294000,ASD05,-
0102294000,GCT 06,15%
0102294000,EXC023,-
0102294000,SCTA08,-
0102294000,SCTS18,-
0102294000,SCTF028,-
0102294000,SCF90,-
0102294000,ENVL20,0.50%
0102295000,ID-01,0.00%
0102295000,ASD05,-
0102295000,GCT 06,15%
0102295000,EXC023,-
0102295000,SCTA08,-
0102295000,SCTS18,-
0102295000,SCTF028,-
0102295000,SCF90,-
0102295000,ENVL20,0.50%
0102296000,ID-01,40.00%
0102296000,ASD05,-
0102296000,GCT 06,15%
0102296000,EXC023,-
0102296000,SCTA08,-
0102296000,SCTS18,-
0102296000,SCTF028,-
0102296000,SCF90,-
0102296000,ENVL20,0.50%
0102310000,ID-01,0.00%
0102310000,ASD05,-
0102310000,GCT 06,15%
0102310000,EXC023,-
0102310000,SCTA08,-
0102310000,SCTS18,-
0102310000,SCTF028,-
0102310000,SCF90,-
0102310000,ENVL20,0.50%
0102390000,ID-01,40.00%
0102390000,ASD05,-
0102390000,GCT 06,15%
0102390000,EXC023,-
0102390000,SCTA08,-
0102390000,SCTS18,-
0102390000,SCTF028,-
0102390000,SCF90,-
0102390000,ENVL20,0.50%
0102900000,ID-01,40.00%
0102900000,ASD05,-
0102900000,GCT 06,15%
0102900000,EXC023,-
0102900000,SCTA08,-
0102900000,SCTS18,-
0102900000,SCTF028,-
0102900000,SCF90,-
0102900000,ENVL20,0.50%
0103100000,ID-01,0.00%
0103100000,ASD05,-
0103100000,GCT 06,15%
0103100000,EXC023,-
0103100000,SCTA08,-
